category,category_label,year,rank,country,import_value_zar,share_of_category_pct,source
apparel,Apparel & clothing,2025,1,China,16447198524,43.1,"South African Revenue Service (SARS), Trade Statistics"
apparel,Apparel & clothing,2025,2,Eswatini,3704690980,9.7,"South African Revenue Service (SARS), Trade Statistics"
apparel,Apparel & clothing,2025,3,Madagascar,3685560340,9.7,"South African Revenue Service (SARS), Trade Statistics"
apparel,Apparel & clothing,2025,4,Lesotho,3317342338,8.7,"South African Revenue Service (SARS), Trade Statistics"
apparel,Apparel & clothing,2025,5,Mauritius,2441343723,6.4,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,Consumer electronics,2025,1,China,67097458442,61.2,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,Consumer electronics,2025,2,Viet Nam,10455133769,9.5,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,Consumer electronics,2025,3,United States,7092489963,6.5,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,Consumer electronics,2025,4,Czech Republic,2653283652,2.4,"South African Revenue Service (SARS), Trade Statistics"
consumer_electronics,Consumer electronics,2025,5,Mexico,2475841244,2.3,"South African Revenue Service (SARS), Trade Statistics"
beauty,"Beauty, cosmetics & fragrance",2025,1,France,1947174245,18.4,"South African Revenue Service (SARS), Trade Statistics"
beauty,"Beauty, cosmetics & fragrance",2025,2,China,1258985168,11.9,"South African Revenue Service (SARS), Trade Statistics"
beauty,"Beauty, cosmetics & fragrance",2025,3,Poland,1171786120,11.1,"South African Revenue Service (SARS), Trade Statistics"
beauty,"Beauty, cosmetics & fragrance",2025,4,Italy,1044927549,9.9,"South African Revenue Service (SARS), Trade Statistics"
beauty,"Beauty, cosmetics & fragrance",2025,5,Germany,1001889440,9.5,"South African Revenue Service (SARS), Trade Statistics"
footwear,Footwear,2025,1,China,9694636543,55.3,"South African Revenue Service (SARS), Trade Statistics"
footwear,Footwear,2025,2,Viet Nam,3119288175,17.8,"South African Revenue Service (SARS), Trade Statistics"
footwear,Footwear,2025,3,Indonesia,1504296593,8.6,"South African Revenue Service (SARS), Trade Statistics"
footwear,Footwear,2025,4,Italy,1474941520,8.4,"South African Revenue Service (SARS), Trade Statistics"
footwear,Footwear,2025,5,India,470490287,2.7,"South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,"Toys, games & sporting goods",2025,1,China,5229994408,64.4,"South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,"Toys, games & sporting goods",2025,2,United States,486648607,6.0,"South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,"Toys, games & sporting goods",2025,3,Italy,214600059,2.6,"South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,"Toys, games & sporting goods",2025,4,Czech Republic,210990679,2.6,"South African Revenue Service (SARS), Trade Statistics"
toys_games_sport,"Toys, games & sporting goods",2025,5,India,192378869,2.4,"South African Revenue Service (SARS), Trade Statistics"
basket_total,E-commerce import basket (all five categories),2025,1,China,99728273085,54.2,"South African Revenue Service (SARS), Trade Statistics"
basket_total,E-commerce import basket (all five categories),2025,2,Viet Nam,14687410703,8.0,"South African Revenue Service (SARS), Trade Statistics"
basket_total,E-commerce import basket (all five categories),2025,3,United States,8543272995,4.6,"South African Revenue Service (SARS), Trade Statistics"
basket_total,E-commerce import basket (all five categories),2025,4,India,4693144267,2.6,"South African Revenue Service (SARS), Trade Statistics"
basket_total,E-commerce import basket (all five categories),2025,5,Eswatini,3705832170,2.0,"South African Revenue Service (SARS), Trade Statistics"
